Location,Date,Temperature,Humidity
Mumbai,2021-05-02 09:46:37.703374,30.6,93.9
Mumbai,2021-05-02 09:46:39.962757,30.6,93.9
Mumbai,2021-05-02 09:46:42.221946,30.6,93.9
Mumbai,2021-05-02 09:46:44.481291,30.6,93.9
Mumbai,2021-05-02 09:46:46.740552,30.6,93.9
Mumbai,2021-05-02 09:46:48.999843,30.6,93.9
Mumbai,2021-05-02 09:46:51.259049,30.6,93.9
Mumbai,2021-05-02 09:46:53.518615,30.6,93.9
Mumbai,2021-05-02 09:46:55.777930,30.6,93.9
Mumbai,2021-05-02 09:46:58.037154,30.6,93.9
Mumbai,2021-05-02 09:47:00.296684,30.6,93.9
Mumbai,2021-05-02 09:47:02.555968,30.6,93.9
Mumbai,2021-05-02 09:47:04.815274,30.7,93.9
Mumbai,2021-05-02 09:47:07.074046,30.7,93.9
Mumbai,2021-05-02 09:47:09.333344,30.6,93.9
Mumbai,2021-05-02 09:47:11.592598,30.6,94.0
Mumbai,2021-05-02 09:47:13.851863,30.9,99.9
Mumbai,2021-05-02 09:47:16.109724,31.6,99.9
Mumbai,2021-05-02 09:47:18.369031,31.7,99.9
Mumbai,2021-05-02 09:47:20.628336,32.0,99.5
Mumbai,2021-05-02 09:47:22.887651,31.6,95.9
Mumbai,2021-05-02 09:47:25.146908,31.4,94.8
Mumbai,2021-05-02 09:47:27.406242,31.2,94.3
Mumbai,2021-05-02 09:47:29.665583,31.1,94.1
Mumbai,2021-05-02 09:47:31.924937,31.1,94.1
Mumbai,2021-05-02 09:47:34.184285,31.1,94.1
Mumbai,2021-05-02 09:47:36.443530,31.0,94.1
Mumbai,2021-05-02 09:47:38.702857,30.9,94.1
Mumbai,2021-05-02 09:47:40.962149,30.9,94.1
Mumbai,2021-05-02 09:47:43.221398,30.9,94.0
Mumbai,2021-05-02 09:47:45.480664,30.9,94.1
Mumbai,2021-05-02 09:47:47.739918,30.9,94.1
Mumbai,2021-05-02 09:47:49.999234,30.9,94.1
Mumbai,2021-05-02 09:47:52.258503,30.9,94.1
Mumbai,2021-05-02 09:47:54.517814,30.9,94.1
Mumbai,2021-05-02 09:47:56.777091,30.8,94.1
Mumbai,2021-05-02 09:47:59.036425,30.9,94.1
Mumbai,2021-05-02 09:48:01.295811,30.9,94.1
Mumbai,2021-05-02 09:48:03.555145,30.8,94.1
Mumbai,2021-05-02 09:48:05.814533,30.8,94.1
Mumbai,2021-05-02 09:48:08.073866,30.8,94.1
Mumbai,2021-05-02 09:48:10.333132,30.8,94.1
Mumbai,2021-05-02 09:48:12.592288,30.8,94.1
Mumbai,2021-05-02 09:48:14.851580,30.8,94.1
Mumbai,2021-05-02 09:48:17.110994,30.8,94.1
Mumbai,2021-05-02 09:48:19.370332,30.8,94.1
Mumbai,2021-05-02 09:48:21.629622,30.8,94.1
Mumbai,2021-05-02 09:48:23.888881,30.8,94.1
Mumbai,2021-05-02 09:48:26.148092,30.8,94.2
Mumbai,2021-05-02 09:48:28.407341,30.8,94.2
Mumbai,2021-05-02 09:48:30.666644,30.8,94.2
Mumbai,2021-05-02 09:48:32.925612,30.8,94.2
Mumbai,2021-05-02 09:48:35.184908,30.8,94.2
Mumbai,2021-05-02 09:48:37.444158,30.8,94.2
Mumbai,2021-05-02 09:48:39.703477,30.8,94.2
Mumbai,2021-05-02 09:48:41.962777,30.8,94.2
Mumbai,2021-05-02 09:48:44.222098,30.8,94.2
Mumbai,2021-05-02 09:48:46.481414,30.8,94.2
Mumbai,2021-05-02 09:48:48.740549,30.7,94.1
Mumbai,2021-05-02 09:48:50.999799,30.8,94.2
Mumbai,2021-05-02 09:48:53.258983,30.8,94.2
Mumbai,2021-05-02 09:48:55.518261,30.8,94.2
Mumbai,2021-05-02 09:48:57.777475,30.8,94.2
Mumbai,2021-05-02 09:49:00.036780,30.8,94.2
Mumbai,2021-05-02 09:49:02.296139,30.8,94.2
Mumbai,2021-05-02 09:49:04.555510,30.8,94.2
Mumbai,2021-05-02 09:49:06.814948,30.8,94.2
Mumbai,2021-05-02 09:49:09.074233,30.7,94.1
Mumbai,2021-05-02 09:49:11.333669,30.7,94.1
Mumbai,2021-05-02 09:49:13.592927,30.7,94.1
Mumbai,2021-05-02 09:49:15.852221,30.7,94.1
Mumbai,2021-05-02 09:49:18.111607,30.7,94.2
Mumbai,2021-05-02 09:49:20.370993,30.7,94.2
Mumbai,2021-05-02 09:49:22.630280,30.7,94.2
Mumbai,2021-05-02 09:49:24.889564,30.7,94.1
Mumbai,2021-05-02 09:49:27.148868,30.7,94.1
Mumbai,2021-05-02 09:49:29.408825,30.7,94.1
Mumbai,2021-05-02 09:49:31.668131,30.7,94.1
Mumbai,2021-05-02 09:49:33.927485,30.7,94.2
Mumbai,2021-05-02 09:49:36.186812,30.7,94.2
Mumbai,2021-05-02 09:49:38.445953,30.7,94.2
Mumbai,2021-05-02 09:49:40.705208,30.7,94.2
Mumbai,2021-05-02 09:49:42.964533,30.7,94.2
Mumbai,2021-05-02 09:49:45.223832,30.7,94.2
Mumbai,2021-05-02 09:49:47.483081,30.7,94.2
Mumbai,2021-05-02 09:49:49.742341,30.7,94.2
Mumbai,2021-05-02 09:49:52.001522,30.7,94.2
Mumbai,2021-05-02 09:49:54.260812,30.7,94.2
Mumbai,2021-05-02 09:49:56.520163,30.7,94.2
Mumbai,2021-05-02 09:49:58.779470,30.7,94.2
Mumbai,2021-05-02 09:50:01.038483,30.7,94.2
Mumbai,2021-05-02 09:50:03.297671,30.7,94.2
Mumbai,2021-05-02 09:50:05.556971,30.7,94.2
Mumbai,2021-05-02 09:50:07.814805,30.7,94.2
Mumbai,2021-05-02 09:50:10.072632,30.7,94.2
Mumbai,2021-05-02 09:50:12.330451,30.7,94.2
Mumbai,2021-05-02 09:50:14.588274,30.7,94.2
Mumbai,2021-05-02 09:50:16.846055,30.7,94.2
Mumbai,2021-05-02 09:50:19.103924,30.7,94.2
Mumbai,2021-05-02 09:50:21.361721,30.7,94.2
Mumbai,2021-05-02 09:50:23.619538,30.7,94.2
Mumbai,2021-05-02 09:50:25.877325,30.7,94.2
Mumbai,2021-05-02 09:50:28.135105,30.7,94.2
Mumbai,2021-05-02 09:50:30.392960,30.7,94.2
Mumbai,2021-05-02 09:50:32.650762,30.7,94.2
Mumbai,2021-05-02 09:50:34.908565,30.7,94.2
Mumbai,2021-05-02 09:50:37.166360,30.7,94.2
Mumbai,2021-05-02 09:50:39.424175,30.7,94.2
Mumbai,2021-05-02 09:50:41.681734,30.7,94.2
